Weight,Name,ISIN,Country
0.02%,SUMITOMO METAL MINING LTD,JP3402600005,Japan
0.02%,CAPITALAND ASCENDAS REIT,SG1M77906915,Singapore
0.02%,IVANHOE MINES LTD CLASS A,CA46579R1047,Canada
0.02%,TALANX AG,DE000TLX1005,Germany
0.02%,CAPCOM LTD,JP3218900003,Japan
0.02%,CAR GROUP LTD,AU000000CAR3,Australia
0.02%,CNH INDUSTRIAL N.V. NV,NL0010545661,United Kingdom
0.02%,M&G PLC,GB00BKFB1C65,United Kingdom
0.02%,PAYCOM SOFTWARE INC,US70432V1026,United States
0.02%,EUROFINS SCIENTIFIC,FR0014000MR3,Luxembourg
0.02%,UNIPOL ASSICURAZIONI SPA,IT0004810054,Italy
0.02%,WEST JAPAN RAILWAY,JP3659000008,Japan
0.02%,GILDAN ACTIVEWEAR INC,CA3759161035,Canada
0.02%,SCHINDLER HOLDING AG,CH0024638212,Switzerland
0.02%,TRYG,DK0060636678,Denmark
0.02%,EISAI LTD,JP3160400002,Japan
0.02%,SVENSKA CELLULOSA AKTIEBOLAGET SCA,SE0000112724,Sweden
0.02%,SARTORIUS PREF AG,DE0007165631,Germany
0.02%,SECURITAS CLASS B,SE0000163594,Sweden
0.02%,HENKEL AG,DE0006048408,Germany
0.02%,KNORR BREMSE AG,DE000KBX1006,Germany
0.02%,PEARSON PLC,GB0006776081,United Kingdom
0.02%,MINEBEA MITSUMI INC,JP3906000009,Japan
0.02%,LY CORP,JP3933800009,Japan
0.02%,EPIROC CLASS B,SE0015658117,Sweden
0.02%,AUCKLAND INTERNATIONAL AIRPORT LTD,NZAIAE0002S6,New Zealand
0.02%,ORION CLASS B,FI0009014377,Finland
0.02%,SCOUT24 N,DE000A12DM80,Germany
0.02%,ORKLA,NO0003733800,Norway
0.02%,MITSUBISHI HC CAPITAL INC,JP3499800005,Japan
0.02%,AUTO TRADER GROUP PLC,GB00BVYVFW23,United Kingdom
0.02%,ASX LTD,AU000000ASX7,Australia
0.02%,SARTORIUS STEDIM BIOTECH SA,FR0013154002,France
0.02%,KINGFISHER PLC,GB0033195214,United Kingdom
0.02%,NITORI HOLDINGS LTD,JP3756100008,Japan
0.02%,MITSUBISHI CHEMICAL GROUP CORP,JP3897700005,Japan
0.02%,SWEDISH ORPHAN BIOVITRUM,SE0000872095,Sweden
0.02%,REDEIA CORPORACION SA,ES0173093024,Spain
0.02%,STORA ENSO CLASS R,FI0009005961,Finland
0.02%,TOPPAN HOLDINGS INC,JP3629000005,Japan
0.02%,TIS INC,JP3104890003,Japan
0.02%,BRENNTAG,DE000A1DAHH0,Germany
0.02%,INDUTRADE,SE0001515552,Sweden
0.02%,TELUS CORP,CA87971M1032,Canada
0.02%,NICE LTD,IL0002730112,Israel
0.02%,SHIMADZU CORP,JP3357200009,Japan
0.02%,BARRATT REDROW PLC,GB0000811801,United Kingdom
0.02%,REA GROUP LTD,AU000000REA9,Australia
0.02%,MONDAYCOM LTD,IL0011762130,Israel
0.02%,SEIBU HOLDINGS INC,JP3417200007,Japan
0.02%,BEIJER REF CLASS B,SE0015949748,Sweden
0.02%,JERONIMO MARTINS SA,PTJMT0AE0001,Portugal
0.02%,PHOENIX GROUP HOLDINGS PLC,GB00BGXQNP29,United Kingdom
0.02%,DAI NIPPON PRINTING LTD,JP3493800001,Japan
0.02%,FIRSTSERVICE SUBORDINATE VOTING CO,CA33767E2024,Canada
0.02%,UNICHARM CORP,JP3951600000,Japan
0.02%,MAKITA CORP,JP3862400003,Japan
0.02%,NEMETSCHEK,DE0006452907,Germany
0.02%,SANRIO LTD,JP3343200006,Japan
0.02%,SEKISUI CHEMICAL LTD,JP3419400001,Japan
0.02%,CANADIAN DOLLAR,_CURRENCYCAD,Canada
0.02%,ELISA,FI0009007884,Finland
0.02%,ZALANDO,DE000ZAL1111,Germany
0.02%,NIPPON PAINT HOLDINGS LTD,JP3749400002,Japan
0.02%,INFRATIL LTD,NZIFTE0003S3,New Zealand
0.02%,INTERNATIONAL AIRLINES GROUP SA,ES0177542018,United Kingdom
0.02%,KIKKOMAN CORP,JP3240400006,Japan
0.02%,MTR CORPORATION CORP LTD,HK0066009694,Hong Kong
0.02%,THE SWATCH GROUP AG,CH0012255151,Switzerland
0.02%,HANKYU HANSHIN HOLDINGS INC,JP3774200004,Japan
0.02%,MATSUKIYOKARA,JP3869010003,Japan
0.02%,LAND SECURITIES GROUP REIT PLC,GB00BYW0PQ60,United Kingdom
0.02%,SYENSQO NV,BE0974464977,Belgium
0.02%,KESKO CLASS B,FI0009000202,Finland
0.02%,SHISEIDO LTD,JP3351600006,Japan
0.02%,HOCHTIEF AG,DE0006070006,Germany
0.02%,DEUTSCHE LUFTHANSA AG,DE0008232125,Germany
0.02%,LEG IMMOBILIEN N,DE000LEG1110,Germany
0.02%,WHITBREAD PLC,GB00B1KJJ408,United Kingdom
0.02%,NIBE INDUSTRIER CLASS B,SE0015988019,Sweden
0.02%,TOKYU CORP,JP3574200006,Japan
0.02%,HKT TRUST AND HKT UNITS LTD,HK0000093390,Hong Kong
0.02%,BARRY CALLEBAUT AG,CH0009002962,Switzerland
0.02%,GETLINK,FR0010533075,France
0.02%,GJENSIDIGE FORSIKRING,NO0010582521,Norway
0.02%,NIPPON SANSO HOLDINGS CORP,JP3711600001,Japan
0.01%,IPSEN SA,FR0010259150,France
0.01%,ELIA GROUP SA,BE0003822393,Belgium
0.01%,SINO LAND LTD,HK0083000502,Hong Kong
0.01%,JAPAN POST INSURANCE LTD,JP3233250004,Japan
0.01%,BIOMERIEUX SA,FR0013280286,France
0.01%,IMCD NV,NL0010801007,Netherlands
0.01%,AEROPORTS DE PARIS SA,FR0010340141,France
0.01%,ACCIONA SA,ES0125220311,Spain
0.01%,SYSMEX CORP,JP3351100007,Japan
0.01%,HULIC LTD,JP3360800001,Japan
0.01%,EMPIRE LTD CLASS A,CA2918434077,Canada
0.01%,SITC INTERNATIONAL HOLDINGS LTD,KYG8187G1055,China
0.01%,HIKARI TSUSHIN INC,JP3783420007,Japan
0.01%,QANTAS AIRWAYS LTD,AU000000QAN2,Australia
0.01%,SODEXO SA,FR0000121220,France
0.01%,CAPITALAND INVESTMENT LTD,SGXE62145532,Singapore
0.01%,EDP RENOVAVEIS SA,ES0127797019,Spain
0.01%,SUNTORY BEVERAGE & FOOD LTD,JP3336560002,Japan
0.01%,MERIDIAN ENERGY LTD,NZMELE0002S7,New Zealand
0.01%,GECINA SA,FR0010040865,France
0.01%,RANDSTAD NV,NL0000379121,Netherlands
0.01%,SALMAR,NO0010310956,Norway
0.01%,ZOZO INC,JP3399310006,Japan
0.01%,RATIONAL AG,DE0007010803,Germany
0.01%,DIETEREN GROUP SA,BE0974259880,Belgium
0.01%,LOTUS BAKERIES NV,BE0003604155,Belgium
0.01%,SCHRODERS PLC,GB00BP9LHF23,United Kingdom
0.01%,LATOUR INVESTMENT CLASS B,SE0010100958,Sweden
0.01%,MONOTARO LTD,JP3922950005,Japan
0.01%,KOBE BUSSAN LTD,JP3291200008,Japan
0.01%,BC VAUD N,CH0531751755,Switzerland
0.01%,COVIVIO SA,FR0000064578,France
0.01%,ROCKWOOL CLASS B,DK0063855168,Denmark
0.01%,SWIRE PACIFIC LTD A,HK0019000162,Hong Kong
0.01%,ANA HOLDINGS INC,JP3429800000,Japan
0.01%,SG HOLDINGS LTD,JP3162770006,Japan
0.01%,TOKYO METRO LTD,JP3583900000,Japan
0.01%,DEMANT,DK0060738599,Denmark
0.01%,INPOST SA,LU2290522684,Poland
0.01%,HOLMEN CLASS B,SE0011090018,Sweden
0.01%,JD SPORTS FASHION PLC,GB00BM8Q5M07,United Kingdom
0.01%,NEXI,IT0005366767,Italy
0.01%,INFRASTRUTTURE WIRELESS ITALIANE,IT0005090300,Italy
0.01%,EURO CURRENCY,_CURRENCYEUR,--
0.01%,DANISH KRONE,_CURRENCYDKK,Denmark
0.01%,SWISS FRANC,_CURRENCYCHF,Switzerland
0.01%,AUSTRALIAN DOLLAR,_CURRENCYAUD,Australia
0.01%,HONG KONG DOLLAR,_CURRENCYHKD,Hong Kong
0.01%,POUND STERLING,_CURRENCYGBP,United Kingdom
0.00%,NEW ZEALAND DOLLAR,_CURRENCYNZD,New Zealand
0.00%,NORWEGIAN KRONE,_CURRENCYNOK,Norway
0.00%,SWEDISH KRONA,_CURRENCYSEK,Sweden
0.00%,SINGAPORE DOLLAR,_CURRENCYSGD,Singapore
0.00%,NEW ISRAELI SHEQEL,_CURRENCYILS,Israel
0.00%,ISRACARD LTD,IL0011574030,Israel
0.00%,NMC HEALTH PLC,GB00B7FC0762,United Arab Emirates
